,OP_CPL,USD,2014,2013,Net Sales,Translation,,Contribution Income,,Net Sales,,,,,,,
INTERNATIONAL 1 BILLION $ CHALLENGE,,,,,,,,,,,,,,,,,
$$ in millions,FULL YEAR OI REQUIREMENT,,,,FULL YEAR SALES INCENTIVE ($$ over OP),,,,,,,2nd HALF INCENTIVE (LG% over OP),,,,HIDE,
,Prior Full,Prior YTD,YTD,,Full Year,YTD,YTD,% to,Meets OI,YTD Incremental,,  % Local Growth,,LCG % pts. ,,AY,AZ
COUNTRY,Year OI,OI,OI,,OP,OP,Actuals,OP,Requirement, $$ over OP,,OP,Actual,over OP,,Lgl Enty Super Region Name,Lgl Enty SubTotal Company
UK Ireland,$16.50 ,$10.00 ,$10.90 ,,$72.00 ,$46.60 ,$48.30 ,103.70%,YES,$1.70 ,,4.70%,4.50%,-0.20%,,UK Ireland,UK Ireland
Hong Kong,$2.30 ,$1.40 ,$1.80 ,,$6.00 ,$3.90 ,$5.20 ,132.20%,YES,$1.30 ,,-5.90%,43.20%,49.10%,,USE AW,Hong Kong
Germany,$3.20 ,$1.50 ,$3.50 ,,$75.50 ,$49.10 ,$50.20 ,102.40%,YES,$1.20 ,,-8.70%,-11.20%,-2.60%,,Germany,Germany
Brazil,$25.90 ,$17.10 ,$20.30 ,,$63.10 ,$41.10 ,$42.10 ,102.30%,YES,$1.00 ,,16.40%,19.80%,3.40%,,Brazil,Brazil
Colombia,$6.20 ,$3.70 ,$4.70 ,,$12.00 ,$8.20 ,$9.00 ,109.90%,YES,$0.80 ,,18.40%,24.20%,5.80%,,Colombia,Colombia
Chile,$3.60 ,$2.60 ,$3.30 ,,$12.10 ,$8.10 ,$8.80 ,108.80%,YES,$0.70 ,,5.90%,32.90%,27.00%,,Chile,Chile
Korea,$4.60 ,$3.00 ,$3.50 ,,$16.60 ,$11.00 ,$11.50 ,104.60%,YES,$0.50 ,,10.90%,12.20%,1.30%,,Korea,Korea
India,$3.30 ,$2.50 ,$2.50 ,,$18.70 ,$12.20 ,$12.50 ,102.30%,YES,$0.30 ,,10.70%,18.40%,7.70%,,USE AW,India
Malaysia,$1.10 ,$0.60 ,$0.90 ,,$3.40 ,$2.20 ,$2.40 ,108.00%,YES,$0.20 ,,23.10%,44.10%,21.00%,,USE AW,Malaysia
Romania,$0.00 ,$0.00 ,$0.00 ,,$0.80 ,$0.50 ,$0.50 ,105.00%,YES,$0.00 ,,-15.80%,-30.00%,-14.10%,,Romania,Romania
Andean Region,$3.40 ,$2.10 ,$2.80 ,,$10.00 ,$6.60 ,$6.60 ,100.10%,YES,$0.00 ,,12.10%,21.40%,9.20%,,Andean Region,#N/A
Cesko,$0.80 ,$0.50 ,$0.70 ,,$3.00 ,$1.80 ,$1.80 ,99.40%,YES,$0.00 ,,52.50%,44.10%,-8.40%,,Cesko,Cesko
Philippines,$0.50 ,$0.30 ,$0.30 ,,$1.80 ,$1.20 ,$1.20 ,97.90%,YES,$0.00 ,,21.90%,46.30%,24.40%,,USE AW,Philippines
Hungary,$0.20 ,$0.10 ,$0.10 ,,$0.80 ,$0.50 ,$0.50 ,93.40%,NO,$0.00 ,,1.40%,14.00%,12.60%,,Hungary,Hungary
Israel,$0.20 ,$0.20 ,$0.10 ,,$1.50 ,$1.00 ,$0.90 ,96.50%,NO,$0.00 ,,-30.50%,-60.30%,-29.80%,,Israel,Israel
Sri Lanka,$0.10 ,$0.00 ,$0.00 ,,$0.60 ,$0.40 ,$0.30 ,87.20%,NO,$0.00 ,,86.80%,21.40%,-65.40%,,USE AW,Sri Lanka
Turkey,$0.80 ,$0.40 ,$1.00 ,,$8.10 ,$4.70 ,$4.70 ,99.00%,YES,$0.00 ,,52.10%,28.50%,-23.60%,,Turkey,Turkey
Indonesia,$1.20 ,$0.80 ,$0.80 ,,$4.10 ,$2.70 ,$2.60 ,97.30%,YES,($0.10),,36.90%,33.70%,-3.20%,,USE AW,Indonesia
Greece,$0.40 ,$0.20 ,$0.20 ,,$2.90 ,$1.90 ,$1.80 ,95.00%,YES,($0.10),,3.80%,-4.20%,-8.10%,,Greece,Greece
Ukraine,$0.10 ,$0.10 ,$0.10 ,,$1.00 ,$0.60 ,$0.40 ,71.20%,YES,($0.20),,17.00%,5.50%,-11.60%,,Ukraine,Ukraine
Mexico,$8.20 ,$4.60 ,$7.40 ,,$25.30 ,$16.30 ,$16.10 ,98.80%,YES,($0.20),,18.30%,6.80%,-11.50%,,Mexico,Mexico
Vietnam,$0.50 ,$0.30 ,$0.30 ,,$1.70 ,$1.10 ,$0.90 ,81.50%,NO,($0.20),,12.90%,-21.40%,-34.30%,,USE AW,Vietnam
Central America & Caribbean Region,$2.10 ,$1.60 ,$1.70 ,,$8.20 ,$5.40 ,$5.00 ,93.00%,YES,($0.40),,31.40%,13.60%,-17.80%,,Central America & Caribbean Region,#N/A
Singapore Core,$1.30 ,$0.90 ,$1.10 ,,$5.30 ,$3.70 ,$3.30 ,89.00%,YES,($0.40),,41.60%,25.60%,-16.00%,,USE AW,Singapore Core
Poland,$0.70 ,$0.60 ,$0.60 ,,$8.50 ,$5.70 ,$5.30 ,92.50%,NO,($0.40),,-2.60%,-0.10%,2.50%,,Poland,#N/A
Benelux,$8.60 ,$5.30 ,$5.40 ,,$47.10 ,$30.70 ,$30.20 ,98.50%,YES,($0.50),,5.60%,0.80%,-4.70%,,Benelux,#N/A
Pakistan,$0.40 ,$0.30 ,$0.00 ,,$2.10 ,$1.30 ,$0.80 ,59.00%,NO,($0.50),,121.40%,106.80%,-14.60%,,USE AW,Pakistan
Russia,$0.00 ,$0.10 ,$0.00 ,,$5.30 ,$3.00 ,$2.50 ,81.70%,NO,($0.60),,1.10%,-12.80%,-13.80%,,Russia,Russia
Thailand,$9.00 ,$6.30 ,$6.00 ,,$24.20 ,$15.50 ,$14.90 ,96.30%,NO,($0.60),,17.70%,10.40%,-7.30%,,USE AW,Thailand
East Region,$1.00 ,$0.60 ,$0.40 ,,$5.90 ,$4.10 ,$3.50 ,85.40%,NO,($0.60),,24.60%,-6.40%,-31.10%,,East Region,#N/A
Taiwan,$4.30 ,$2.70 ,$2.60 ,,$12.10 ,$8.10 ,$7.40 ,92.30%,NO,($0.60),,29.80%,5.90%,-24.00%,,USE AW,Taiwan
South Africa,$2.40 ,$1.50 ,$1.20 ,,$7.80 ,$5.20 ,$4.50 ,87.20%,NO,($0.70),,16.30%,-15.90%,-32.10%,,USE AW,South Africa
Argentina Uruguay,$2.40 ,$1.70 ,$1.40 ,,$8.80 ,$5.80 ,$5.20 ,88.50%,NO,($0.70),,15.10%,18.50%,3.30%,,Argentina Uruguay,#N/A
Saudi Arabia,$4.10 ,$2.30 ,$2.00 ,,$12.80 ,$7.60 ,$6.90 ,90.90%,NO,($0.70),,-23.30%,-69.70%,-46.40%,,USE AW,Saudi Arabia
3M Africa Reg,$0.90 ,$0.60 ,$0.40 ,,$6.10 ,$3.90 ,$3.00 ,78.60%,NO,($0.80),,#DIV/0!,#DIV/0!,0.00%,,USE AW,#N/A
Italy,$8.10 ,$6.10 ,$5.60 ,,$43.60 ,$29.80 ,$29.00 ,97.10%,NO,($0.90),,1.30%,-0.10%,-1.40%,,Italy,Italy
Gulf,$3.20 ,$1.70 ,$1.80 ,,$12.50 ,$8.00 ,$7.10 ,89.10%,YES,($0.90),,29.00%,-15.10%,-44.10%,,USE AW,Gulf
Alpine,$5.50 ,$3.50 ,$3.50 ,,$30.50 ,$20.10 ,$18.90 ,93.90%,YES,($1.20),,10.10%,-0.80%,-10.90%,,Alpine,#N/A
ANZ,$16.80 ,$11.20 ,$11.10 ,,$49.50 ,$33.00 ,$31.50 ,95.50%,NO,($1.50),,1.90%,-1.10%,-3.10%,,ANZ,#N/A
Nordic,$4.00 ,$2.70 ,$2.20 ,,$34.40 ,$22.30 ,$20.70 ,92.90%,NO,($1.60),,8.80%,-9.20%,-18.00%,,Nordic,#N/A
France,$5.60 ,$3.70 ,$4.20 ,,$45.30 ,$29.90 ,$28.00 ,93.50%,YES,($1.90),,4.50%,-12.80%,-17.20%,,France,France
Iberia,$3.50 ,$1.90 ,$2.20 ,,$34.60 ,$23.30 ,$21.20 ,91.20%,YES,($2.00),,4.10%,-4.60%,-8.70%,,Iberia,#N/A
Canada,$12.20 ,$9.10 ,($0.10),,$58.40 ,$37.70 ,$34.80 ,92.40%,NO,($2.90),,13.10%,2.60%,-10.40%,,Canada,#N/A
Venezuela,$0.40 ,$1.10 ,$1.00 ,,$7.80 ,$5.90 ,$2.10 ,36.50%,NO,($3.70),,46.10%,-93.20%,-139.30%,,Venezuela,Venezuela
Japan,$35.50 ,$24.20 ,$23.60 ,,$101.90 ,$67.00 ,$62.40 ,93.10%,NO,($4.60),,6.90%,-2.70%,-9.50%,,Japan,Japan
China,$29.60 ,$17.40 ,$21.80 ,,$99.70 ,$67.00 ,$61.70 ,92.20%,YES,($5.20),,64.30%,19.20%,-45.10%,,USE AW,China
,,,,,,,,,,,,,,,,,
SUBTOTALS,$244.60 ,$159.00 ,$165.20 ,,"$1,013.10 ",$665.50 ,$638.30 ,95.90%,,($27.20),,,,,,,
